Member,Body,District,PictureFile,FullName,Party,District Cities
Dahle,assembly,1,brian_dahle.jpg,Brian Dahle,Republican,"Redding
Susanville
Truckee"
Gaines,senate,1,ted_gaines.jpg,Ted Gaines,Republican,"Redding
Susanville
Truckee"
Levine,assembly,10,marc_levine.jpg,Marc Levine,Democrat,"Santa Rosa
Petaluma
San Rafael"
Corbett,senate,10,ellen_m_corbett.jpg,Ellen M. Corbett,Democrat,"Santa Rosa
Petaluma
San Rafael"
Frazier,assembly,11,jim_frazier.jpg,Jim Frazier,Democrat,"Fairfield
Antioch
Vacaville"
Leno,senate,11,mark_leno.jpg,Mark Leno,Democrat,"Fairfield
Antioch
Vacaville"
Olsen,assembly,12,kristin_olsen.jpg,Kristin Olsen,Republican,"Modesto
Turlock
Manteca"
Cannella,senate,12,anthony_cannella.jpg,Anthony Cannella,Republican,"Modesto
Turlock
Manteca"
Eggman,assembly,13,susan_talamantes_eggman.jpg,Susan Talamantes Eggman,Democrat,"Stockton
Tracy
Lodi"
Hill,senate,13,jerry_hill.jpg,Jerry Hill,Democrat,"Stockton
Tracy
Lodi"
Bonilla,assembly,14,susan_bonilla.jpg,Susan Bonilla,Democrat,"Concord
Vallejo
Pittsburg"
Berryhill,senate,14,tom_berryhill.jpg,Tom Berryhill,Republican,"Concord
Vallejo
Pittsburg"
Skinner,assembly,15,nancy_skinner.jpg,Nancy Skinner,Democrat,"Berkeley
Richmond
Oakland"
Beall,senate,15,jim_beall.jpg,Jim Beall,Democrat,"Berkeley
Richmond
Oakland"
Buchanan,assembly,16,joan_buchanan.jpg,Joan Buchanan,Democrat,"Livermore
San Ramon
Pleasanton"
Vidak,senate,16,andy_vidak.jpg,Andy Vidak,Republican,"Livermore
San Ramon
Pleasanton"
Ammiano,assembly,17,tom_ammiano.jpg,Tom Ammiano,Democrat,San Francisco
Monning,senate,17,bill_monning.jpg,Bill Monning,Democrat,San Francisco
Bonta,assembly,18,rob_bonta.jpg,Rob Bonta,Democrat,"Oakland
San Leandro
Alameda"
Fuller,senate,18,jean_fuller.jpg,Jean Fuller,Republican,"Oakland
San Leandro
Alameda"
Ting,assembly,19,philip_y_ting.jpg,Philip Y. Ting,Democrat,"San Francisco
Daly City
South San Francisco"
Jackson,senate,19,hannah-beth_jackson.jpg,Hannah-Beth Jackson,Democrat,"San Francisco
Daly City
South San Francisco"
