city:number:pop:pct
Redding:1:89,861:100
Susanville:1:17,947:100
Truckee:1:16,180:100
Grass Valley:1:12,860:100
Shasta Lake:1:10,164:100
Anderson:1:9,932:100
Yreka:1:7,765:100
Mount Shasta:1:3,394:100
Nevada City:1:3,068:100
Weed:1:2,967:100
Alturas:1:2,827:100
Portola:1:2,104:100
Colfax:1:1,963:100
Dunsmuir:1:1,650:100
Montague:1:1,443:100
Tulelake:1:1,010:100
Dorris:1:939:100
Fort Jones:1:839:100
Loyalton:1:769:100
Etna:1:737:100
Auburn:1:0:0.0
Santa Rosa:2:93,592:55.8
Eureka:2:27,191:100
Windsor:2:26,801:100
Arcata:2:17,231:100
Ukiah:2:16,075:100
Fortuna:2:11,926:100
Healdsburg:2:11,254:100
Cloverdale:2:8,618:100
Crescent City:2:7,643:100
Fort Bragg:2:7,273:100
Willits:2:4,888:100
Rio Dell:2:3,368:100
Ferndale:2:1,371:100
Blue Lake:2:1,253:100
Point Arena:2:449:100
Trinidad:2:367:100
Chico:3:86,187:100
Yuba City:3:64,925:100
Paradise:3:26,218:100
Oroville:3:15,546:100
Red Bluff:3:14,076:100
Marysville:3:12,072:100
Live Oak:3:8,392:100
Corning:3:7,663:100
Orland:3:7,291:100
Gridley:3:6,584:100
Willows:3:6,166:100
Colusa:3:5,971:100
Wheatland:3:3,456:100
Biggs:3:1,707:100
Tehama:3:418:100
Napa:4:76,915:100
Davis:4:65,622:100
Woodland:4:55,468:100
Rohnert Park:4:40,971:100
American Canyon:4:19,454:100
Dixon:4:18,351:100
Clearlake:4:15,250:100
Winters:4:6,624:100
St. Helena:4:5,814:100
Calistoga:4:5,155:100
Williams:4:5,123:100
Lakeport:4:4,753:100
Yountville:4:2,933:100
Madera:5:61,416:100
South Lake Tahoe:5:21,403:100
Chowchilla:5:18,720:100
Auburn:5:13,330:100
Placerville:5:10,389:100
Mammoth Lakes:5:8,234:100
Ione:5:7,918:100
Sonora:5:4,903:100
Jackson:5:4,651:100
Angels:5:3,836:100
Sutter Creek:5:2,501:100
Plymouth:5:1,005:100
Amador City:5:185:100
Roseville:6:118,788:100
Folsom:6:72,203:100
Rocklin:6:56,974:100
Lincoln:6:42,819:100
Loomis:6:6,430:100
Sacramento:7:315,145:67.6
West Sacramento:7:48,744:100
Citrus Heights:8:83,301:100
Rancho Cordova:8:64,776:100
Elk Grove:9:153,015:100
Sacramento:9:151,343:32.4
Lodi:9:62,133:100.0
Galt:9:23,647:100
Santa Rosa:10:74,223:44.2
Petaluma:10:57,941:100
San Rafael:10:57,713:100
Novato:10:51,904:100
Mill Valley:10:13,903:100
San Anselmo:10:12,336:100
Larkspur:10:11,926:100
Sonoma:10:10,648:100
Corte Madera:10:9,253:100
Tiburon:10:8,962:100
Fairfax:10:7,441:100
Sebastopol:10:7,379:100
Cotati:10:7,265:100
Sausalito:10:7,061:100
Ross:10:2,415:100
Belvedere:10:2,068:100
Fairfield:11:105,321:100
Antioch:11:102,372:100
Vacaville:11:92,428:100
Brentwood:11:51,481:100
Oakley:11:35,432:100
Suisun City:11:28,111:100
Pittsburg:11:14,043:22.2
Rio Vista:11:7,360:100
Isleton:11:804:100
Modesto:12:123,845:61.6
Turlock:12:68,549:100
Manteca:12:67,096:100
Riverbank:12:22,678:100
Oakdale:12:20,675:100
Lathrop:12:18,023:100
Ripon:12:14,297:100
Waterford:12:8,456:100
Escalon:12:7,132:100
Hughson:12:6,640:100
Stockton:13:291,707:100
Tracy:13:82,922:100
Lodi:13:1:0.0
Concord:14:122,067:100
Vallejo:14:115,942:100
Pittsburg:14:49,221:77.8
Martinez:14:35,824:100
Pleasant Hill:14:33,152:100
Benicia:14:26,997:100
Walnut Creek:14:11,211:17.5
Clayton:14:10,897:100
Berkeley:15:112,580:100
Richmond:15:103,701:100
Oakland:15:79,895:20.4
San Pablo:15:29,139:100
Hercules:15:24,060:100
El Cerrito:15:23,549:100
Albany:15:18,539:100
Pinole:15:18,390:100
Piedmont:15:10,667:100
Emeryville:15:10,080:100
Livermore:16:80,968:100
San Ramon:16:72,148:100
Pleasanton:16:70,285:100
Walnut Creek:16:52,962:82.5
Dublin:16:46,036:100
Danville:16:42,039:100
Lafayette:16:23,893:100
Orinda:16:17,643:100
Moraga:16:16,016:100
San Francisco:17:467,501:58.1
Oakland:18:310,829:79.6
San Leandro:18:84,950:100
Alameda:18:73,812:100
San Francisco:19:337,734:41.9
Daly City:19:101,123:100
South San Francisco:19:21,851:34.3
Colma:19:1,792:100
Hayward:20:144,186:100
Fremont:20:109,397:51.1
Union City:20:69,516:100
Merced:21:78,958:100
Modesto:21:77,320:38.4
Ceres:21:45,417:100
Los Banos:21:35,972:100
Atwater:21:28,168:100
Patterson:21:20,413:100
Livingston:21:13,058:100
Newman:21:10,224:100
Gustine:21:5,520:100
Dos Palos:21:4,950:100
San Mateo:22:97,207:100
Redwood City:22:76,815:100
South San Francisco:22:41,781:65.7
San Bruno:22:41,114:100
Pacifica:22:37,234:100
Foster City:22:30,567:100
Burlingame:22:28,806:100
San Carlos:22:28,406:100
Belmont:22:25,835:100
Millbrae:22:21,532:100
Hillsborough:22:10,825:100
Brisbane:22:4,282:100
Fresno:23:291,632:59.0
Clovis:23:95,631:100
Sunnyvale:24:140,081:100
Mountain View:24:74,066:100
Palo Alto:24:64,403:100
Menlo Park:24:32,026:100
Los Altos:24:28,976:100
East Palo Alto:24:28,155:100
Half Moon Bay:24:11,324:100
Los Altos Hills:24:7,922:100
Atherton:24:6,914:100
Woodside:24:5,287:100
Cupertino:24:4,474:7.7
Portola Valley:24:4,353:100
San Jose:25:122,572:13.0
Santa Clara:25:116,468:100
Fremont:25:104,692:48.9
Milpitas:25:66,790:100
Newark:25:42,573:100
Visalia:26:124,442:100
Tulare:26:59,278:100
Porterville:26:54,165:100
Dinuba:26:21,453:100
Lindsay:26:11,768:100
Farmersville:26:10,588:100
Exeter:26:10,334:100
Woodlake:26:7,279:100
Bishop:26:3,879:100
San Jose:27:445,294:47.1
San Jose:28:291,039:30.8
Cupertino:28:53,828:92.3
Campbell:28:39,349:100
Saratoga:28:29,926:100
Los Gatos:28:29,413:100
Monte Sereno:28:3,341:100
San Jose:29:87,037:9.2
Santa Cruz:29:59,946:100
Seaside:29:33,025:100
Monterey:29:27,810:100
Marina:29:19,718:100
Pacific Grove:29:15,041:100
Scotts Valley:29:11,580:100
Capitola:29:9,918:100
Carmel-by-the-Sea:29:3,722:100
Del Rey Oaks:29:1,624:100
Sand City:29:334:100
Watsonville:29:0:0.0
