"Member","Body","District","PictureFile","FullName","Party","Cities "
"Achadjian","assembly",33,"33.jpg","Katcho Achadjian","Republican","Victorville, Hesperia, Apple Valley"
"Alejo","assembly",28,"28.jpg","Luis A. Alejo","Democrat","San Jose, Cupertino, Campbell"
"Allen","assembly",7,"7.jpg","Michael Allen","Democrat","Sacramento, West Sacramento"
"Ammiano","assembly",13,"13.jpg","Tom Ammiano","Democrat","Stockton, Tracy"
"Atkins","assembly",76,"76.jpg","Toni Atkins","Democrat","Oceanside, Carlsbad, Vista"
"Beall","assembly",24,"24.jpg","Jim Beall","Democrat","Sunnyvale, Mountain View, Palo Alto"
"Beth Gaines","assembly",4,"4.jpg","Beth Gaines","Republican","Napa, Davis, Woodland"
"Bill Berryhill","assembly",26,"26.jpg","Bill Berryhill","Democrat","Visalia, Tulare, Porterville"
"Block","assembly",78,"78.jpg","Marty Block","Democrat","San Diego, Imperial Beach, Coronado"
"Blumenfield","assembly",40,"40.jpg","Bob Blumenfield","Democrat","Rancho Cucamonga, San Bernardino, Redlands"
"Bonilla","assembly",11,"11.jpg","Susan Bonilla","Democrat","Fairfield, Antioch, Vacaville"
"Bonnie Lowenthal","assembly",54,"54.jpg","Bonnie Lowenthal","Democrat","Los Angeles, Culver City, Inglewood"
"Bradford","assembly",51,"51.jpg","Steven Bradford","Democrat","Los Angeles"
"Brownley","assembly",41,"41.jpg","Julia Brownley","Democrat","Pasadena, Upland, Monrovia"
"Buchanan","assembly",15,"15.jpg","Joan Buchanan","Democrat","Berkeley, Richmond, Oakland"
"Butler","assembly",53,"53.jpg","Betsy Butler","Democrat","Los Angeles, Huntington Park, Vernon"
"Campos","assembly",23,"23.jpg","Nora Campos","Democrat","Fresno, Clovis"
"Carter","assembly",62,"62.jpg","Wilmer Amina Carter","Democrat","Los Angeles, Inglewood, Hawthorne"
"Cedillo","assembly",45,"45.jpg","Gilbert Cedillo","Democrat","Los Angeles, Calabasas, Hidden Hills"
"Charles Calderon","assembly",58,"58.jpg","Charles M. Calderon","Republican","Downey, Bellflower, Pico Rivera"
"Chesbro","assembly",1,"1.jpg","Wesley Chesbro","Republican","Redding, Susanville, Truckee "
"Conway","assembly",34,"34.jpg","Connie Conway","Democrat","Bakersfield, Ridgecrest, Tehachapi"
"Cook","assembly",65,"65.jpg","Paul Cook","Democrat","Fullerton, Anaheim, Buena Park"
"Davis","assembly",48,"48.jpg","Mike Davis","Republican","West Covina, Baldwin Park, Glendora"
"Dickinson","assembly",9,"9.jpg","Roger Dickinson","Democrat","Elk Grove, Sacramento, Lodi"
